country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Georgia,GE,2020,1064,88,324,152,11,23,170,5,1476,1662,356,1832,1064,304,0,,1,220,2,7,12,,,43,92,,182,234,220,199,109,1079,0,4,9,14,,,32,54,,165,71,58,62,93,535,0,48,60,1458,,,1,,202,52,24,193,1,44,1,199,1,126,1,91,217,0,"In 2.15 the definition of XDR-TB ""Pre-XDR-TB that is also resistant to at least one of levofloxacin, moxifloxacin, bedaquiline or linezolid is now called XDR-TB."" is somewhat confusing.",1064,291,114,77,,,970,212,210,87,106,68,100,65,173,50,0,2,0,1,10,0,11,25,1,1,,1,1480,29,29,,,,,0,,31,0,,,17,491,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,50537,6489,72,0,
Ghana,GH,2020,8030,3214,911,448,63,8,248,,12155,12674,767,12922,8016,669,14,,1,221,119,,,197,,,,629,1548,2170,1916,1109,931,8303,,114,,,182,,,,452,756,856,646,397,442,3549,,612,60,12674,,,1,"2.6 Data nopt available
The data in 2.9 represent drug susceptible TB cases only.  The DR-TB reporting tool provide for <15 years and >14 years only hence unable to provide the other details",210,1,0,199,2,1,1,199,1,15,1,185,,1,,8016,619,180,30,,,8016,619,5,11,180,30,5,9,1,1,,,,,,,,,,1,,1,11540,2118,1902,,,,,0,,1868,0,,,2083,31035,0,,,3886,4673,3886,4811,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Greenland,GL,2020,47,13,8,6,0,0,3,3,68,74,9,77,47,9,0,0,1,220,0,1,2,,,2,2,,11,3,4,8,10,40,0,1,0,1,,,6,7,,3,4,6,2,1,29,0,5,60,71,,,0,,1,0,0,0,0,0,0,,0,,0,,0,0,,29,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,1,,,,,1,
Gambia,GM,2020,1436,710,171,88,0,,13,,2317,2405,101,2418,1436,101,0,0,1,223,23,,,55,,,,,,,,,,1518,0,22,,,40,,,,,,,,,,747,0,140,60,,,,1,,9,9,0,9,0,0,0,,0,,1,9,9,0,,117,47,2,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2200,361,320,,,,,1,,320,0,,,320,2146,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Guinea,GN,2020,8365,3055,3802,321,53,16,263,,15222,15612,653,15875,8365,321,0,,1,221,161,,,364,,,,1739,2556,1928,1406,787,650,9066,0,105,,,315,,,,1339,1585,1079,729,484,385,5601,0,945,60,3972,,,0,2.6 NON APPICABLE,306,5,0,265,3,5,1,5,1,6,1,259,270,0,,159,204,159,147,,,159,141,159,139,159,141,159,139,90,2,,,,,,,,,,0,"DONNEES NON DISPONIBLES, TESTS NON ENCORE DISPONIBLES",1,13836,3985,3866,0,,,,0,,3985,0,,,2097,61197,0,,,,,3985,7500,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Equatorial Guinea,GQ,2020,770,312,137,77,43,7,53,,1219,1346,180,1399,770,119,0,35,1,220,16,9,19,,,43,70,,212,194,106,51,29,705,0,15,13,20,,,46,71,,214,112,50,33,23,549,0,92,60,61,,,1,"(I) The national nominal database was reviewed case by base to clean duplicates and other registration or dataclerk errors.  (ii) of the 61 initial rapid tests done, 41 were LF-LAM and 20 Xpert ",41,4,1,41,1,4,1,4,0,,0,,0,0,"One (1) case was started MDR treatment but unconfirmed (extrapulmonary TB). All MDR patients were started on short-injectable (Bangladesh). Bedaquiline was NOT in RR/MDR initial regimens but it was used to replace injectable in 2 cases. The four cases preXDR cases started on individualized, BDQ-LZD based regimens. The country does not have DST for new drugs. ",250,119,20,21,,,,,,,,,,,0,0,,,,,,,,,,1,"Despite a survey published in 2016 (ERJ), and yearly proportions of RR among of new TB cases remaining constantly over 8%, RR proportion in WHO global reports for EQG remains lower. RR cases in the survey were confirmed (including WGS) and about 80% RR cases diagnosed 2017-2019 were sent for confirmation to a Reference Lab. 2020 because of covid didnt see confirmation of cases, but RR was diagnosed with ULTRA version (different to the study in Rwanda) and results with 'very low' were repeated",1,1191,508,368,,,,,0,"The gap between HIV+ and ART initiation seem to be due to underreporting (missing records) of ART initiation, but this couldnt be definitely ascertained hence the data is kept as recorded. ",602,0,,,847,1400,0,,,,,847,1400,0,,,0,0,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Greece,GR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Guatemala,GT,2020,1966,379,205,174,15,11,52,,2550,2750,252,2802,1958,174,8,0,1,220,57,50,20,,,82,208,,367,290,235,182,172,1536,0,53,47,16,,,55,105,,209,187,177,136,101,970,1,243,60,787,,,0,,77,8,0,69,1,4,0,,1,5,1,63,73,0,,682,406,29,48,,,79,406,9,102,6,48,5,23,65,2,,,,,,,,,,1,los datos 2.38 a 2.42 el pais no cuenta con este tipo de pruebas de sensibilidad ,1,2632,197,195,1,216,2,2,0,,199,0,,"METODOLOGÍA:
Para la construcción del numerador del indicador se utilizó la base de datos de Coinfección VIH-TB con datos nominales de las 16 Unidades de Atención Integral del MSPAS. En la base se registran todos los pacientes con Tuberculosis que tiene identificados el Programa de Tuberculosis, se utiliza la variable de ""VIH"" para seleccionar aquellos pacientes con la opción ""R"" que significa que son positivos confirmado de VIH. Para identificar si reciben terapia combinada, se selección la opción ""Si"" de la variable de ""TARV"". 

No hay datos para poder desagregar el indicador por ciudad, esto debido a que los instrumentos no recolectan información de la ciudad de residencia de las personas actualmente.

Se utiliza el dato consensuado junto el Programa de Tuberculosis.
",117,1624,0,,"METODOLOGÍA:
Para la construcción del numerador del indicador se utilizó la base de datos de Coinfección VIH-TB con datos nominales de las 16 Unidades de Atención Integral del MSPAS. En la base se registran todos los pacientes con Tuberculosis que tiene identificados el Programa de Tuberculosis, se utiliza la variable de ""VIH"" para seleccionar a aquellos pacientes con la opción ""R"" que significa que son positivos confirmado de VIH. Para identificar si reciben tratamiento antirretroviral, se selección la opción ""Si"" de la variable de ""TARV"". Finalmente para identificar que son nuevos, se selecciona de la variable de ""Fecha de VIH"" el año 2020. 

Para la construcción del denominador se utilizó el número de personas consolidado de la sumatoria de lo reportado en el Anexo D ""Consolidado mensual de personas recibiendo terapia antirretroviral"" del cuadro de ""IV. PACIENTES CON VIH DE NUEVO INGRESO A LA UAI EN TAR EN EL MES DEL REPORTE"" y del Anexo F del cuadro de ""IX. PACIENTES CON VIH DE",493,1624,1552,21113,0,,"METODOLOGÍA (Recién matriculados en la atención del VIH):
Para la construcción del numerador del indicador de personas recién inscritas en servicios de VIH con TAR que iniciaron tratamiento para la infección por tuberculosis latente; se utilizo el número consolidado de personas reportadas en la matriz ""atención integral de VIH"" del  
del cuadro: ""De las personas nuevas VIH+  en la cohorte con tratamiento en Atención Integral que fueron nuevos diagnósticos de VIH en el año 2020, ¿cuántas iniciaron profilaxis con Isoniazida durante el año 2020?""; solicitado a las 19 Unidades de Atención Integral.

Las Unidades de Atención Integral de: Elisa Martínez, Sanidad Militar, Hospicio San José e IGSS no reportaron a ningún paciente registrado por primera vez en la atención para el VIH con TAR que haya iniciado tratamiento para la infección por tuberculosis latente durante el periodo de notificación.

Para la construcción del denominador se utilizó el número de personas consolidado de la su",,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Guam,GU,2020,39,11,5,1,1,0,0,,55,57,2,57,39,1,0,39,1,220,0,0,0,,,0,2,,10,5,8,11,9,45,0,0,0,0,,,1,0,,1,3,1,4,2,12,0,0,60,54,,,0,,1,0,0,1,0,0,0,,0,,0,,0,0,"2.17-This patient was INH susceptible, but RIF resistant and started medications to include moxifloxacin.",38,1,0,0,,,37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,49,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Guinea-Bissau,GW,2020,2111,329,74,25,2,2,18,,2514,2543,47,2561,2111,25,0,0,1,221,19,,,38,,,,278,437,416,225,102,60,1518,0,21,,,44,,,,178,254,212,145,93,21,903,0,122,0,,,,1,,45,,0,42,0,0,0,,1,42,3,,42,1,,1212,24,32,13,,,,,,,,,,,,,,,,,,,,,,1,,1,2229,705,475,0,,,,1,,443,0,,,,,1,,"Todos os casos de TB notificados no pai são sistematicamente registados no mapa de tratamento anti, tuberculose e consequentemente reportados pelo Programa Nacional de luta contra TB. No entanto, os dados dos PvVIH em tratamento ARV que iniciaram o tratamento anti, tuberculose não são reportados separadamente. O que esta na origem não podermos informar este indicador.
",,,,,1,,"
Apesar da disponibilidade de medicamentos (306 320 INH300 e 1 326 900 INH100) no pais e da disponibilidade de instrumentos de registo. A coleta desta informação não está sistematizado e regular.",,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Guyana,GY,2020,197,108,32,23,6,0,34,,337,366,63,400,197,39,0,11,1,220,0,2,0,,,20,43,,26,64,71,37,12,273,0,0,1,2,,,8,17,,9,12,20,14,8,88,0,5,60,214,,,0,,5,0,0,5,0,0,0,,0,,0,,0,0,,118,27,3,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No testing is currently done for 2nd line TB medication.,1,216,44,34,1,3,0,0,0,,34,0,,,45,395,0,,,303,5877,590,5877,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
"China, Hong Kong SAR",HK,2020,2226,408,731,183,72,47,0,,3365,3667,302,3667,2225,183,1,394,1,220,2,0,5,,,28,52,,128,162,232,472,1204,2278,0,1,1,6,,,30,58,,218,229,182,208,449,1374,0,15,0,,,,0,,19,2,0,16,0,3,1,13,0,,0,,19,0,Q 2.20: One 2019 case had second line anti-TB treatment started in year 2020.,2105,159,14,2,,,2104,159,101,10,13,2,10,1,14,2,0,0,0,0,1,1,0,0,0,0,"Q 2.42: Including 1 case of XDR-TB by former definition(Year 2020) with drug resistance to isoniazid, rifampicin, fluoroquinolones and kanamycin ( but sensitive to Bdq and Lzd) .
",1,2813,15,8,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Honduras,HN,2020,1525,92,122,98,8,2,14,,1739,1847,122,1861,1525,112,0,0,1,220,11,1,8,,,54,200,,323,182,145,129,188,1221,0,6,3,11,,,37,67,,116,93,97,96,80,586,0,40,60,770,,,0,,26,0,0,22,1,0,1,3,1,7,1,7,22,0,,902,93,18,7,,,902,26,1,0,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1770,91,79,1,37,2,2,1,Se realizaron las consultas con el programa de VIH de losm91 casos diagnosticados 79 de ellos comenzaron la TARV,91,0,,,39,871,0,,,,,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Croatia,HR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Haiti,HT,2020,7264,2138,1130,741,0,0,501,,10532,11273,1242,11774,7264,1242,0,0,1,221,215,,,390,,,,1232,1803,1196,690,457,376,5754,,186,,,396,,,,1066,1184,880,535,384,283,4332,,1187,60,4247,,,0,,93,2,2,92,3,2,1,93,1,94,0,,94,0,,898,108,47,35,,,,,,,,,,,,,,,,,,,,,,0,,1,11273,1507,1283,1,1202,99,88,0,,1103,0,,,813,17835,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Hungary,HU,2020,183,159,17,11,13,1,22,7,359,384,47,406,183,26,0,19,1,220,0,1,2,,,2,8,,24,28,61,53,56,232,0,0,0,2,,,2,11,,21,21,23,23,46,147,0,5,60,0,,,,Data extracted from ECDC/TESSy 2021-06-28,11,0,0,9,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,156,21,6,5,,,155,21,12,5,6,5,4,3,10,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Indonesia,ID,2020,175040,162486,34874,7554,3580,491,9298,,372400,384025,20923,393323,169950,13333,5090,,1,220,9929,4845,3356,,,10950,19485,,35911,36583,40253,35983,24250,203415,0,8785,4274,4272,,,13701,19411,,28319,25773,26251,20563,11131,145149,0,35461,60,144707,,,1,">>Data as of April, 16 2021
>>Among 393,323 all cases notified in 2020, as many as 361,745 have started treatment.
>>Since data collection is still ongoing, the data will be updated on the second submission",7628,293,0,4960,35,272,1,2756,1,2416,1,589,1257,0,>>The transition process for the all oral shorter regimen started on August 2020,97846,10487,3830,3981,5898,2139,778,1241,485,944,778,1241,485,944,2614,293,0,0,0,0,0,0,0,0,293,1,The capacity to conduct linezolid and bedaquiline testing under programatic setting is not yet available in 2020,1,193752,7693,2592,1,10212,186,50,0,"The number of TB/HIV patients on ART in 2021 is different from reported by the National AIDS Program to UNAIDS due to difference of
the submission time. The National AIDS Program to UNAIDS was submitted in March 2021 and used data from SITB by 1 March
2021 meanwhile, Global TB Reported will be submitted in May 2021 and using data by 14 June 2021.",2297,0,,,2820,47654,0,,,,,17274,32925,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Ireland,IE,2020,139,39,51,,,,11,0,229,229,11,240,72,7,67,108,1,220,0,0,1,,,4,10,,40,22,18,16,30,140,0,3,0,1,,,1,3,,27,17,13,9,13,83,0,5,60,176,,,,Data extracted from ECDC/TESSy 2021-06-28,2,0,0,1,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,66,6,0,0,,,39,3,2,0,0,0,0,0,0,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,13,1,Number of TB deaths registered in 2020 are taken from the CSO Irish Vital Statistics Q4 report and are based on the ICD 10 codes A15-A19 and B90
Israel,IL,2020,89,22,45,1,1,0,0,0,156,158,2,158,89,1,0,134,1,220,1,1,0,,,2,2,,32,20,10,9,22,97,0,1,0,1,,,1,3,,17,10,9,3,14,57,0,4,0,,,,1,"Despite the fact that Xpert is available in Israel, our routine surveillance include only Culture & DST",4,1,0,4,0,1,1,1,3,,3,,5,1,All reported cases in the report are only new cases notified in 2020. We don't have capability of discerning resistance development of cases from previous years,89,1,5,0,,,89,1,12,0,5,0,5,0,5,1,,,,,,,,,,1,,1,158,15,15,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,12,1,
India,IN,2020,570237,516488,471000,57978,9564,4034,183342,,1557725,1629301,254918,1812643,570237,109388,0,,1,220,13594,13095,19908,,,72912,106450,,178353,165671,168685,147210,110271,949552,0,8621,10279,32042,,,87499,104870,,143025,84947,68670,54782,38417,582210,0,97539,60,301189,,,1,"2.9: Among the total TB patients notified under NTEP India in the year 2020, 867 Transgenders have been included in the Female category as there is no space to fill the same in the Global TB Report.",40697,8982,0,34249,1844,8256,1,10140,1,14735,0,,1084,1,"2.27 - All MDR-TB, pre-XDR-TB or XDR-TB patients are actively and systematically subjected to clinical and laboratory assessment at the time of treatment initiation and while managing toxicities. An aDSM electronic reporting module is under development in Nikshay to enable national data.",557456,102523,14453,5944,42788,1604,152900,32845,12757,3723,4427,1977,2764,1175,4772,2095,0,0,10,0,1,270,0,0,1814,0,,1,1500488,30496,28361,1,84965,1830,1702,0,2019 Updates figures not matching with the figures updated through the link.,28931,0,,,16904,105652,0,,,41204,105652,1154983,1379092,0,,,320987,374742,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Iraq,IQ,2020,1632,774,2265,145,74,97,28,,4671,4987,344,5015,1632,162,0,,1,221,84,,,90,,,,373,477,443,385,275,316,2269,0,50,,,157,,,,568,423,350,302,324,370,2337,0,381,0,,,,1,"
TB patients who are foreign-born individuals are not included in the formal TB data set",88,10,9,78,5,10,1,46,1,52,1,1,11,0,,108,143,20,68,,,108,143,11,67,20,68,8,49,88,11,,,,,,,,,,1,Bedauiline susceptibility testing is not available yet in Iraq,0,2451,1,1,,,,,0,Here we included all new and retreated patients (not only new and relapse),,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Iran (Islamic Republic of),IR,2020,3076,1103,1501,215,53,45,102,,5680,5993,415,6095,3076,302,0,1130,1,221,39,,,38,,,,322,540,595,495,460,826,3238,0,30,,,68,,,,266,329,313,312,453,907,2580,0,175,0,,,,0,,20,1,0,15,0,1,1,6,1,15,0,,16,0,"Note 2.14 / 2.18: Of the 20 patients who are RR-TB Or MDR-TB,
- two Case dead ,
- three cases has not started treatment yet.
(one non-Iranian case was transferred before treatment began) 
",1387,83,4,17,,,1061,59,24,41,4,17,2,7,8,1,0,0,0,0,0,0,0,0,1,0,,1,5143,126,115,,,,,0,,116,0,,,,,1,,,196,355,,,0,,"
O those on ART, 4707 PLWH had a history of TB treatment or TPT and not eligible for Tuberculin Skin Test (TST). Totally during reporting period 3542 PLWH were tested by TST, of them 422 had a reaction of 5 mm or more.  67 of those with positive reaction, subsequently determined that had a history TPT.  Finally 355 received TPT.",423,668,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Iceland,IS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Italy,IT,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,9,,,,,,,,,,,,0,,1165,26,33,6,,,1165,26,102,8,33,6,29,5,34,8,0,0,0,0,1,3,0,0,4,0,,,,,,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,0,
Jamaica,JM,2020,39,21,1,0,0,0,0,,61,61,0,61,39,0,0,0,1,221,1,,,2,,,,5,4,13,6,9,2,39,0,1,,,3,,,,4,4,3,1,2,1,15,0,7,60,37,,,0,,0,0,0,0,0,0,0,,0,,0,,0,1,,37,0,0,0,,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,18,7,2,1,1,1,0,1,,10,0,,,4,1551,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Jordan,JO,2020,110,56,80,3,0,1,0,,246,250,4,250,110,3,0,142,0,221,4,,,6,,,,11,26,26,10,11,6,90,0,3,,,2,,,,39,51,29,8,9,5,141,0,15,60,169,,,0,,1,0,0,1,0,1,1,1,1,1,1,1,1,0,,110,3,1,0,,,,0,,0,,0,,0,0,,,,,,,,,,,1,,1,235,0,0,,,,,0,,0,0,,,0,0,0,,,,,,,0,,,,,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Japan,JP,2020,7847,1175,3171,349,75,122,,,12193,12739,546,12739,7730,349,117,1411,1,220,14,6,7,,,36,251,,481,331,553,677,5151,7480,0,13,3,9,,,39,254,,401,324,323,294,3572,5207,0,52,0,,,,1,,49,,,48,0,,1,25,1,,0,,28,1,,4942,202,44,14,,,4938,201,260,31,44,14,31,13,,,,,,,,,,,,1,,1,877,31,,,,,,1,,,1,,"NA
NA",,,1,,"NA
NA",,,,,1,,"NA
NA",,,1,,"NA
NA",2021-06-28,0,,,,,,,,,1,,,,,,
Kenya,KE,2020,38602,18642,9791,2980,1266,365,1297,,67035,71646,5908,72943,38597,3857,5,0,1,220,1582,543,715,,,2352,4744,,12032,11359,6901,3558,3088,44034,0,1558,434,774,,,1856,3164,,6066,4738,2848,1667,1667,22006,0,5606,60,50441,,,0,Total cases  declined compared to the previous year mainly due to covid-19 effects. The program has cased based data at the national level.Gene xpert is the first test for TB diagnosis,961,8,12,949,23,8,1,677,1,688,0,,8,0,,32771,3553,285,165,,,261,236,145,167,84,59,3,3,58,7,,,,,,,,,,1,The program is in the process of setting up testing for the above,1,70446,17675,17158,1,5385,742,723,0,"UNAIDS data includes other types of patients, while what is reported here is new and relapse and there is a time lapse, the data being reported is current data while we submitted to NACC data about a month ago and there is slight changes due to cleaning and excluding certain types like TIs",18040,0,,"The data was generated from the TIBU which is a TB reporting program
",4143,124866,0,,,97082,124866,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Kyrgyzstan,KG,2020,1892,833,809,360,284,63,644,240,3534,4241,1351,4885,1892,743,0,0,1,221,24,,,74,,,,456,407,375,453,370,309,2370,0,17,,,65,,,,345,405,216,193,260,272,1691,0,180,60,2495,,,1,,889,149,46,833,43,67,1,653,3,,1,109,,1,"2.27 ??? ??????
2.15 ?????? ?????? ??/???-?? ?? ???????????? ? ????????????? ",1741,698,493,377,328,158,1741,698,650,408,493,377,391,324,869,149,,,,,,,,,,1,,1,4007,131,88,,,,,0,"?????????? ?? ?????? ? ???/???? ??????? ??? ? ????????, ?? ????????? ????? ???????? ???????. ????? 2.46 ???????? ?????? ????? ?????? ? ????????",104,0,,"??????? ???????????? ???????? ?? ???????? ???-???????? ? ??
",131,675,0,,,705,1095,705,4442,0,,,1180,1394,0,,,2021-06-28,0,,,,,,,,,1,,,277,259,1,
Cambodia,KH,2020,10160,7054,11157,266,369,44,89,,28371,29050,768,29139,10157,355,3,0,1,221,1140,,,2699,,,,859,1415,1935,2515,3121,2857,12702,,707,,,2011,,,,800,1325,1304,1466,2153,2740,9788,,6557,0,,,,1,"NTP use also GeneXpert. However, we do not capture yet in detail in the system.",,,,,,,,,,,,,,1,,7415,246,55,66,,,,,,,,,,,121,13,,,,,,,,,,1,,1,26146,648,570,,,,,0,,570,0,,,,,1,,,7275,35931,,,0,,,18986,26176,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Kiribati,KI,2020,191,42,138,9,3,2,3,,371,385,17,388,191,12,0,0,1,221,12,,,22,,,,43,20,21,32,30,16,162,0,7,,,34,,,,39,27,13,32,19,18,148,0,75,60,219,,,0,,7,0,0,6,0,0,1,2,0,,1,6,6,0,,174,11,5,2,,,,,,,,,,,,,,,,,,,,,,1,,1,163,0,0,,,,,0,,,1,,"Co-management of tuberculosis and HIV treatment - 0
",,,1,,"People living with HIV with active tuberculosis disease - 0
",,,,,1,,"People living with HIV who started tuberculosis preventive therapy - 0
",,,1,,"Percentage of people living with HIV on antiretroviral therapy who completed a course of TB preventive treatment (TPT) among those who initiated TPT - 0
",2021-06-28,0,,,,,,,,,0,,,,,,
Comoros,KM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,85,0,,,,,,,1,,,,,1,,,2021-06-28,,,,,,,,,,,,,,,,
